Date,Time,Location,Operator,Flight #,Route,AC Type,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground
2002-07-27,12:45,"Lviv, Ukraine",Military - Ukraine Air Force,,,Sukhoi Su-27,2.0,0.0,2.0,0.0,0.0,0.0,85.0
2002-08-07,22:00,"Caguas, Puerto Rico",Military - U.S. Air Force,-,Roosevelt Roads NS - Borinquen NGB,Lockheed MC-130H Hercules,10.0,3.0,7.0,10.0,3.0,7.0,0.0
2002-08-15,12:35,"Kadjuduwa Watta, Sri Lanka",Military - Sri Lanka Air Force,,,Yunshuji Y-8D,5.0,0.0,5.0,5.0,0.0,5.0,0.0
2002-08-19,,"Khankala, Chechnya",Military - Russian Air Force,,,Mil Mi-26,147.0,142.0,5.0,121.0,121.0,0.0,0.0
2002-10-01,,"Vasco, India",Military - Indian Navy,,Military exercises,Ilyushin IL-38 / Ilyushin IL-38,12.0,0.0,12.0,12.0,0.0,12.0,5.0
2002-12-26,11:20,"Curitiba, Brazil",Military - Brazilian Air Force,,Sao Paulo - Porto Alegre,Embraer-110 C-95B Bandeirante,16.0,13.0,3.0,3.0,2.0,1.0,0.0
2003-02-19,17:30,"Near Shahdad, Iran",Military - Islamic Revolution's Guards Corps,,Zahedan - Kerman,Ilyushin Il-76MD,275.0,257.0,18.0,275.0,257.0,18.0,0.0
2003-02-20,08:52,"Near Kohat, Pakistan",Military - Pakistan Air Force,-,Islamabad - Kohat,Fokker F-27 Friendship 200,17.0,9.0,8.0,17.0,9.0,8.0,0.0
2003-06-25,13:00,"Near Rudshour, Iran",Military - Islamic Republic of Iran Air Force,,,Lockheed C-130 Hercules,7.0,0.0,7.0,7.0,0.0,7.0,0.0
2003-06-30,10:50,"Blida, Algeria",Military - Algerian Air Force,,Training,Lockheed C-130H Hercules,4.0,0.0,4.0,4.0,0.0,4.0,11.0
2003-09-19,20:00,"Near La Quemada, Mexico",Military - Mexican Air Force,,Mexicali - Santa Lucia,Lockheed C-130A Hercules,6.0,0.0,6.0,6.0,0.0,6.0,0.0
2003-11-02,09:00,"Near Hasi, Iraq",Military - U.S. Army,-,Fallujah - Baghdad,CH-47 Chinook,36.0,34.0,2.0,15.0,15.0,0.0,0.0
2003-11-15,18:30,"Mosul, Iraq",Military - U.S. Army,,,UH-60 Black Hawk / UH-60 Black Hawk,22.0,18.0,4.0,17.0,13.0,4.0,0.0
2003-11-29,15:20,"Boende, Congo",Military - Congolese Air Force,,"Boende, Congo - Kinshasa, Congo",Antonov AN-26,24.0,18.0,6.0,20.0,14.0,6.0,13.0
2004-02-06,08:01,"Bitonja, Bosnia-Herzegovina",Military - Government of Macedonia,,Skopje - Mostar,Beechcraft Super King Air 200,9.0,7.0,2.0,9.0,7.0,2.0,0.0
2004-03-16,04:01,"Tonopah, Nevada",Military - United States Air Force,,,Beechcraft 1900C,5.0,4.0,1.0,5.0,4.0,1.0,0.0
2004-08-21,16:28,"Near Maracay, Venezuela",Military - Venezuelan Air Force,,La Orchila Air Base - Maracay,Shorts 360,25.0,22.0,3.0,25.0,22.0,3.0,0.0
2004-09-11,11:10,"Off Mount Athos, Greece",Military - Greek Army,,Athens - Mount Athos,CH-47D Chinook,17.0,13.0,4.0,17.0,13.0,4.0,0.0
2005-01-13,,"Manguipayan, Colombia",Military - Colombian government,,,Black Hawk helicopter,20.0,18.0,2.0,20.0,18.0,2.0,0.0
2005-01-26,01:20,"Rutbah, Iraq",Military - U.S. Marines,,Ferrying troops,CH53E Sea Stallion,31.0,29.0,2.0,31.0,29.0,2.0,0.0
2005-01-30,16:30,"Near Al Taji, Iraq",Military - Royal Air Force,,Bagdad - Balad,Lockheed Hercules C.1,10.0,8.0,2.0,10.0,8.0,2.0,0.0
2005-03-31,20:00,"Near Rovie, Albania",Military - U.S. Air Force,,Training,Lockheed Hercules MC-130H,9.0,0.0,9.0,9.0,0.0,9.0,0.0
2005-04-28,11:28,"Pisco, Peru",Military - Fuerza Del Peru,,Training,Let 410UVP,13.0,11.0,2.0,13.0,11.0,2.0,0.0
2005-05-18,13:27,"Mongu, Zambia",Military - Zambia Air Force,,Lusaka - Livingstone - Mongu - Lusaka,Yunshuji Y-12,13.0,8.0,5.0,13.0,8.0,5.0,0.0
2005-12-06,14:15,"Tehran, Iran",Military - Islamic Republic of Iran Air Force,,Tehran - Bandar Abbas,Lockheed C-130B Hercules,94.0,84.0,10.0,94.0,84.0,10.0,14.0
2006-01-09,09:30,"Near Orumiyeh, Iran",Military - Iranian Revolutionary Guard Corps Air Force,,Tehran - Orumiyeh,Dassault Falcon 20,11.0,8.0,3.0,11.0,8.0,3.0,0.0
2006-01-19,19:30,"Near Telkibanya, Hungary",Military - Slovak Air Force,,Pristina - Kosice,Antonov AN-24V,43.0,35.0,8.0,42.0,34.0,8.0,0.0
2006-04-10,10:00,"Marsabit, Kenya",Military - Kenya Air Force,,Nairobi - Eastleigh AFB,Harbin Yunshuji Y-12-II,17.0,13.0,4.0,14.0,12.0,2.0,0.0
2006-04-23,04:55,"Kousséri, Cameroon",Military - Lybian Arab Air Force,,Sebha - N'Djamena,Antonov 74TK-200,6.0,0.0,6.0,6.0,0.0,6.0,0.0
2006-06-03,15:00,"Yaocun, China",Military - Chinese Air Force,,,KJ-2000,40.0,35.0,5.0,40.0,35.0,5.0,0.0
2006-06-11,18:30,"Abéché, Chad",Military - Chadian Air Force,,N'djamena - Abéché,Lockheed C-130 Hercules,7.0,0.0,7.0,5.0,0.0,5.0,0.0
2006-09-02,16:30,"Near Kandahar, Afghanistan",Military - Royal Air Force,,,British Aerospace Nimrod MR-2,14.0,12.0,2.0,14.0,12.0,2.0,0.0
2006-09-11,17:30,"Vladikavkaz, Russia",Military - Russian Army,,Gizel - Khankala,Mi-8 helicopter,15.0,12.0,3.0,12.0,12.0,0.0,0.0
2006-09-17,10:15,"Vandeikya, Nigeria",Military - Nigerian Air Force,,Abuja - Obudu,Dornier 228,18.0,15.0,3.0,13.0,11.0,2.0,0.0
2006-10-19,07:30,"Tashkent, Russia",Military - Russian Air Force/Uzbekistan Airways,,Training/Aranchi,Antonov An-2,15.0,13.0,2.0,15.0,13.0,2.0,0.0
2006-11-27,07:20,"Tehran, Iran",Military - Iranian Revolutionary Guard Corps Air Force,,Tehran - Shiraz,Antonov 74T-200,38.0,32.0,6.0,38.0,32.0,6.0,0.0
2007-01-20,,"Near Baghdad, Iraq",Military - US Army,,,Sikorsky UH-60L Black Hawk,12.0,10.0,4.0,12.0,10.0,4.0,0.0
2007-04-27,11:34,"Shatoi, Chechnya",Military - Russian,,,Mi 8,18.0,15.0,3.0,18.0,15.0,3.0,0.0
2007-05-06,09:10,"Near El-Thamad, Egypt",Military - French Air Force,,El-Gora - Santa Katarina,de Havilland Canada DHC-6 Twin Otter,9.0,5.0,4.0,9.0,5.0,4.0,0.0
2007-05-24,17:45,"Near Pampa Hermosa, Peru",Military - Peruvian Air Force,,Iquitos - Pucallpa,de Havilland Canada DHC-6 Twin Otter 300,20.0,17.0,3.0,13.0,10.0,3.0,0.0
2007-08-22,,"Near Kirkuk, Iraq",Military - U.S. Army,,Transporting troops,UH-60 Blackhawk helilcopter,14.0,12.0,2.0,14.0,12.0,2.0,0.0
2008-01-12,,"Blace, Macedonia",Military - Macedonian Air Force,,"Bosnia - Skopje, Macedonia",Mi-17 Helicopter,11.0,10.0,1.0,11.0,10.0,1.0,0.0
2008-01-23,19:00,"Miroslawiec, Poland",Military - Polish Air Force,,Warsaw - Miroslawiec,CASA C-295M,20.0,16.0,4.0,20.0,16.0,4.0,0.0
2008-04-16,14:23,"Off Annobon Island, Equatorial Guinea",Military - Government of Equatorial Guinea,,Bata - Annobon Island,Antonov An-32B,13.0,8.0,5.0,13.0,8.0,5.0,0.0
2008-05-29,14:13,"Panama City, Panama",Military - Servicio Aereo Nacional,,Tocumen - Colon,Bell UN-1N Huey,12.0,9.0,3.0,11.0,9.0,2.0,0.0
2008-06-20,,"Bannang Sata, Thailand",Military - Thai Army,,,Bell UH-1N,10.0,8.0,2.0,10.0,8.0,2.0,0.0
2008-06-26,15:03,"Near Salak Mountain, Indonesia",Military - Indonesian Air Force,,Jakarta - aerial survelliance,CASA NC-212,18.0,13.0,5.0,18.0,13.0,5.0,0.0
2008-08-06,11:40,"Sunat Tanon, Thailand",Military - Royal Thai Air Force,,Betong - ?,Bell Huey UH-1H,10.0,8.0,2.0,10.0,8.0,2.0,0.0
2009-04-06,12:30,"Bandung, Indonesia",Military - Indonesian Air Force,,Militiary training,Fokker F-27 Friendship 400M,24.0,18.0,6.0,24.0,18.0,6.0,0.0
2009-05-03,12:00,"Near El Alto de Rubio, Venezuela",Military - Venezuelan Army,,Patrol,Mi-35,18.0,16.0,2.0,18.0,16.0,2.0,0.0
2009-05-20,06:30,"Near Madiun, Indonesia",Military - Indonesian Air Force,,Jakarta - Maduin,Lockheed C-130 Hercules,112.0,98.0,14.0,112.0,98.0,14.0,2.0
2009-06-08,,"State of Arunachal Pradesh, India",Military - Indian Air Force,,Mechuka - Jorhat,Antonov An-32,13.0,6.0,7.0,13.0,6.0,7.0,0.0
2009-07-03,,"Near,  Peshawar ,  Pakistan",Military - Pakistan Army,,,Mil Mi-17,26.0,24.0,2.0,26.0,24.0,2.0,0.0
2009-09-08,10:30,"Ugamsk Gorge, South Kazakistan",Military - Kazakhstan border guard service,,Patrol,Mil Mi-8,13.0,,,10.0,,,0.0
2009-11-01,21:19,"Off Mongokhto, Russia",Military - Russian Navy,,Ferrying,Tupolev Tu-142M3,11.0,0.0,11.0,11.0,0.0,11.0,0.0
2010-01-28,11:30,"Cotabato City, Philippines",Military - Philippine Air Force,,Cotabato Cty - Zamboanga City,GAF N22B Nomad,8.0,6.0,2.0,8.0,6.0,2.0,1.0
2010-02-14,,"Near Saada, Yemen",Military - Yemeni Arm,,,Helicopter,11.0,9.0,2.0,11.0,9.0,2.0,2.0
2010-04-10,10:41,"Smolensk, Russia",Military - Polish Air Force, PLF 101,"Warsaw, Poland - Smolensk Russia",Tupolev 154M,96.0,88.0,8.0,96.0,88.0,8.0,0.0
2010-07-05,17:40,"Tuzla, Romania",Military - Romainian Air Force,,Tuzla - Tuzla,Antonov AN-2,14.0,10.0,4.0,12.0,,3.0,0.0
2010-07-28,18:22,"Near Elmendorf AFB, Alaska",Military - US Air Force,,Practice maneuvers,McDonnell Douglas C-17A Globemaster III,4.0,0.0,4.0,4.0,0.0,4.0,0.0
2011-07-26,09:00,"Near Guelmim, Morocco",Military - Royal Moroccan Air Force,,Dakhla - Guelmim - Kinitra,Lockheed C-130 Hercule,80.0,71.0,9.0,80.0,71.0,9.0,0.0
2011-09-14,12:00,"Huambo, Angola",Military - FANA Forca Aerea Nacional Angolana,,Huambo - Luanda,Embraer 120ER Brasilia,36.0,34.0,2.0,30.0,30.0,0.0,0.0
2012-04-30,16:30,"Sabanagrande, Colombia",Military -Fuerza Aerea Colombiana,,Barranquilla - Caucasia,Bell 212,13.0,11.0,2.0,13.0,11.0,2.0,0.0
2012-06-21,14:45,"Jakarta, Indonesia",Military - Indonesian Air Force,,Training flight,Fokker F-27 Friendship 400M,7.0,0.0,7.0,7.0,0.0,7.0,4.0
2012-10-07,12:00,"Near Omdurman, Sudan",Military - Sudanese Air Force,,,Antonov An-12BP,22.0,16.0,6.0,15.0,,,0.0
2012-11-21,,"San'a, Yemen",Military - Yemen Air Force,,Training,Antonov An-26,10.0,0.0,10.0,10.0,0.0,10.0,0.0
2012-12-05,09:45,"Near Ladysmith, South Africa",Military - South African Air Force,,Pretoria - Mthatha Airport,Douglas C47-TP,11.0,5.0,6.0,11.0,5.0,6.0,0.0
2012-12-25,18:55,"Near Shymkent, Kazakhstan",Military - Kazakhstan Border Guards,,Astana - Shymkent,Antonov AN-72-100D,27.0,20.0,7.0,27.0,20.0,7.0,0.0
2013-08-09,08:00,"Mogadishu, Somalia",Military - Ethiopian Air Force,,Dire Dawa - Mogadishu,Antonov An-12,6.0,0.0,6.0,4.0,0.0,4.0,0.0
2013-11-09,10:30,"Pujungan, Malinau district, Borneo",Military - Indonesian Army,,Tarakan - Malinau,Mil- Mi-17B-5,21.0,13.0,8.0,13.0,7.0,6.0,0.0
2014-02-11,11:59,"Near Ain Kercha, Algeria",Military - Algerian Air Force,,Tamanarasset - Constatine,Lockheed C-130H-30 Hercules,77.0,73.0,4.0,76.0,72.0,4.0,0.0
2014-06-14,00:50,"Lugansk, Ukraine",Military - Ukraine Air Force,,Melitopol - Luhansk,Ilyushin 76MD,49.0,40.0,9.0,49.0,40.0,9.0,0.0
2014-07-07,07:50,"Thach That district, Vietnam",Military - Vietnam People's Army Air Force,,Training,Mil Mi-171,19.0,21.0,2.0,18.0,,,0.0
2015-06-30,11:48,"Medan, Indonesia",Military - Indonesian Air Force,,"Medan - Tanjung Pinang, Sumatra.",Lockheed C130-B Hercules,122.0,110.0,12.0,122.0,110.0,12.0,19.0
2015-07-31,,"Near Agustin Codazzi, Colombia",Military - Colombia Air Force,,Palanquero AB -Valledupar,CASA CN-235-100,11.0,0.0,11.0,11.0,0.0,11.0,0.0
2015-10-02,00:19,"Jalalabad, Afghanistan",Military - U.S. Army,,Jalalabad - Bagram,Lockheed C-130J Hercules,11.0,5.0,6.0,11.0,5.0,6.0,2.0
2016-03-15,14:30,"Fatima Pastaza, Ecuador",Military - Ecuador Army,,Training,IAI Attava 201 ,22.0,19.0,3.0,22.0,19.0,3.0,0.0
2017-06-07,13:35,"Off Dawei, Myanmar",Military - Myanmar Air Force,,Myeik - Yangon,Shaanxi Y-8F-200W,122.0,108.0,14.0,122.0,108.0,14.0,0.0
2018-03-06,14:51,"Latakia, Syria",Military - Russian Air Force,,Kuweires Air Base - Latakia-Khmeimim Air Base,Antonov An-26,39.0,33.0,6.0,39.0,33.0,6.0,0.0
2018-04-11,08:00,"Boufarik AB, Algeria",Military - Algerian Air Force,,Boufarik AB - Bechar - Tindouf,Ilyushin 76-TD,257.0,247.0,10.0,257.0,247.0,10.0,0.0
2018-05-02,11:30,"Port Wentworth, Georgia",Military - US Air Force,,Savannah - Tuscon,Lockheed HC-130H Hercules,9.0,0.0,9.0,9.0,0.0,9.0,0.0
2019-06-03,13:00,"Near Lipo, India",Military - Indian Air Force,, Jorhat-Rowriah - Mechuka,Antonov An-32,13.0,5.0,8.0,13.0,5.0,8.0,0.0
2019-07-30,02:00,"Rawalpindi, India",Military - Pakistan Army,,Training,Beechcraft B300 King Air,5.0,0.0,5.0,5.0,0.0,5.0,14.0
