Date,Time,Location,Operator,Flight #,Route,AC Type,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground
1989-03-20,07:00,"Pohang, South Korea",Military - U.S. Marine Corps,,,Sikorsky CH-53D,34.0,30.0,4.0,19.0,,,0.0
1989-07-26,,"Near Chana, Angola",Military - Angolan Air Force,,Luena - Cazombo,Antonov AN-26,48.0,44.0,4.0,42.0,,,0.0
1989-10-04,06:00,"Perth, Ontario, Canada",Military - U.S. Air Force,,,Boeing KC-135A,4.0,0.0,4.0,4.0,0.0,4.0,0.0
1989-10-18,,"Nasosny, Russia",Military - Russian Air Force,,,Ilyushin IL-76MD,57.0,50.0,7.0,57.0,50.0,7.0,0.0
1989-10-26,,"Petropavlovsk, USSR",Military - Soviet Air Force,,,Antonov AN-26,36.0,30.0,6.0,36.0,30.0,6.0,0.0
1989-11-10,,"Maluti Mountains, Lesotho",Military - Royal Lesotho Defence Force,,Qacha?s-  Nek-Maseru,Casa 212 Aviocar,18.0,16.0,2.0,18.0,16.0,2.0,0.0
1989-12-01,09:30,"Patuxent, Maryland",Military - U.S. Army,,Fort Belvoir - Patuxent River NAS,CASA 212 Aviocar 200,5.0,0.0,5.0,5.0,0.0,5.0,0.0
1989-12-21,14:00,"Near Guayaramerin, Bolivia",Military - Bolivian Air Force,,Guayaramerin - Santa Cruz,Lockheed C-130A,28.0,18.0,10.0,24.0,,,0.0
1990-01-23,07:35,"Near Caracas, Venezuela",Military - Venezuelan Navy,-,Caracas - Puerto Ayancucho,CASA 212-200 Aviocar,25.0,22.0,3.0,25.0,22.0,3.0,0.0
1990-01-27,17:35,"Near Kinkala, Congo",Military - Congolese Air Force,,Pointe-Noire - Brazzaville,Nord 262C-66,28.0,23.0,5.0,28.0,23.0,5.0,0.0
1990-02-17,19:30,"Near Ngwerere, Zambia",Military - Zambian Air Force,,M'bala - Likouala,DHC-5 Buffalo,29.0,24.0,5.0,29.0,24.0,5.0,0.0
1990-03-01,,"Near Meerut, India",Military - Indian Air Force,,,MiG-23,1.0,0.0,1.0,0.0,0.0,0.0,50.0
1990-03-27,,"Near Kuito, Angola",Military - Angolan Air Force,,Kuito-Huambo,CASA 212 Aviocar 300,25.0,20.0,5.0,25.0,20.0,5.0,0.0
1990-04-20,,"Near Kinshasa, Zaire",Military - Zairean Air Force,,Kinshasa-Gbadolite,Lockheed C-130H,24.0,18.0,6.0,20.0,,,0.0
1990-04-30,21:38,"Tarbert, England",Military - Royal Air Force,,Timmins - Moosonee,Avro Shackleton AEW-2,10.0,0.0,10.0,10.0,0.0,10.0,0.0
1990-05-11,,"Near Wurzburg , Germany",Military - Luftwaffe,,,Transall C-160D,10.0,0.0,10.0,10.0,0.0,10.0,0.0
1990-07-27,,"Near Maymaneh, Afghanistan",Military - Afghan Republican Air Force,,,Mil Mi-8 (helicopter),30.0,25.0,5.0,30.0,25.0,5.0,0.0
1990-08-10,,"Near Shindand, Afghanistan",Military - Afghan Republican Air Force,,,Antonov AN-12,83.0,78.0,5.0,83.0,78.0,5.0,0.0
1990-08-29,00:34,"Near Kaiserslautern, Germany",Military - U.S. Air Force,,Ramstein AB - Rhein-Main AB,Lockheed C-5A,17.0,9.0,8.0,13.0,6.0,7.0,0.0
1991-01-10,18:00,"Near Paramo Mucuti, Venezuela",Military - Venezuelan Navy,,Caracas - Merida,CASA 212 Aviocar 200,22.0,19.0,3.0,21.0,18.0,3.0,0.0
1991-02-05,12:51,"Near Nea Ankhialos, Greece",Military - Hellenic Air Force,,Elefsis AB - Volos-Néa Anchialos,Lockheed C-130H,63.0,59.0,4.0,63.0,59.0,4.0,0.0
1991-02-14,,"Near Taisha, Ecuador",Military - Ecuadorean Air Force,,Macao - Taisha,de Havilland Canada DHC-6 Twin Otter 300,22.0,19.0,3.0,22.0,19.0,3.0,0.0
1991-03-21,,"Ras-al-Mishab, Saudi Arabia",Military - Royal Saudi Air Force,,Koweit City-Ras-al-Mishab-Dakar,Lockheed C-130H,98.0,92.0,6.0,98.0,92.0,6.0,0.0
1991-03-25,08:15,"Near Bangalore, India",Military - Indian Air Force,,Yellahanka-Yellahanka,Hindustan Aeronautics 748-2,28.0,25.0,3.0,28.0,25.0,3.0,0.0
1991-10-05,15:00,"Near Jakarta, Indonesia",Military - Indonesian Air Force,,Jakarta-Bandung,Lockheed C-130H-30,134.0,129.0,5.0,134.0,129.0,5.0,2.0
1991-10-30,14:30,"Near Point Alert, Ellesmere Island, NWT,Canada",Military - Royal Canadian Air Force,,Edmonton - Point Alert,Lockheed CC-130E,18.0,13.0,5.0,5.0,3.0,2.0,0.0
1991-11-20,,"Nagoro-Karabak, USSR",Military - Soviet Air Force,,,Mil Mi-8 (helicopter),23.0,20.0,3.0,23.0,20.0,3.0,0.0
1991-11-29,08:15,"Guaratingueta AB, Brazil",Military - Força Aérea Brasileira,,Brasilla  - Guarantinguerta,Embraer C-95C Bandeirante,16.0,13.0,3.0,16.0,13.0,3.0,0.0
